Year,Media,Market Share,
1980.0,8-track,14.3,
1981.0,8-track,7.9,
1982.0,8-track,1.0,
1983.0,8-track,0.0,
1984.0,8-track,0.0,
1985.0,8-track,0.0,
1986.0,8-track,0.0,
1987.0,8-track,0.0,
1988.0,8-track,0.0,
1989.0,8-track,0.0,
1990.0,8-track,0.0,
1991.0,8-track,0.0,
1992.0,8-track,0.0,
1993.0,8-track,0.0,
1994.0,8-track,0.0,
1995.0,8-track,0.0,
1996.0,8-track,0.0,
1997.0,8-track,0.0,
1998.0,8-track,0.0,
1999.0,8-track,0.0,
2000.0,8-track,0.0,
2001.0,8-track,0.0,
2002.0,8-track,0.0,
2003.0,8-track,0.0,
2004.0,8-track,0.0,
2005.0,8-track,0.0,
2006.0,8-track,0.0,
2007.0,8-track,0.0,
2008.0,8-track,0.0,
2009.0,8-track,0.0,
2010.0,8-track,0.0,
1980.0,Cassete,19.1,
1981.0,Cassete,26.7,
1982.0,Cassete,38.2,
1983.0,Cassete,47.8,
1984.0,Cassete,55.0,
1985.0,Cassete,55.3,
1986.0,Cassete,53.9,
1987.0,Cassete,53.2,
1988.0,Cassete,54.1,
1989.0,Cassete,50.8,
1990.0,Cassete,46.0,
1991.0,Cassete,38.5,
1992.0,Cassete,34.5,
1993.0,Cassete,29.0,
1994.0,Cassete,24.7,
1995.0,Cassete,18.7,
1996.0,Cassete,15.2,
1997.0,Cassete,12.4,
1998.0,Cassete,7.3,
1999.0,Cassete,7.3,
2000.0,Cassete,4.4,
2001.0,Cassete,2.6,
2002.0,Cassete,1.7,
2003.0,Cassete,0.9,
2004.0,Cassete,0.2,
2005.0,Cassete,0.1,
2006.0,Cassete,0.0,
2007.0,Cassete,0.0,
2008.0,Cassete,0.0,
2009.0,Cassete,0.0,
2010.0,Cassete,0.0,
1980.0,Cassete single,0.0,
1981.0,Cassete single,0.0,
1982.0,Cassete single,0.0,
1983.0,Cassete single,0.0,
1984.0,Cassete single,0.0,
1985.0,Cassete single,0.0,
1986.0,Cassete single,0.0,
1987.0,Cassete single,0.3,
1988.0,Cassete single,0.9,
1989.0,Cassete single,3.0,
1990.0,Cassete single,3.4,
1991.0,Cassete single,2.9,
1992.0,Cassete single,3.3,
1993.0,Cassete single,3.0,
1994.0,Cassete single,2.3,
1995.0,Cassete single,1.9,
1996.0,Cassete single,1.5,
1997.0,Cassete single,1.1,
1998.0,Cassete single,0.3,
1999.0,Cassete single,0.3,
2000.0,Cassete single,0.0,
2001.0,Cassete single,0.0,
2002.0,Cassete single,0.0,
2003.0,Cassete single,0.0,
2004.0,Cassete single,0.0,
2005.0,Cassete single,0.0,
2006.0,Cassete single,0.0,
2007.0,Cassete single,0.0,
2008.0,Cassete single,0.0,
2009.0,Cassete single,0.0,
2010.0,Cassete single,0.0,
1980.0,CD,0.0,
1981.0,CD,0.0,
1982.0,CD,0.0,
1983.0,CD,0.5,
1984.0,CD,2.4,
1985.0,CD,8.9,
1986.0,CD,20.0,
1987.0,CD,28.5,
1988.0,CD,33.4,
1989.0,CD,39.3,
1990.0,CD,45.8,
1991.0,CD,55.5,
1992.0,CD,59.2,
1993.0,CD,64.8,
1994.0,CD,70.1,
1995.0,CD,76.1,
1996.0,CD,79.2,
1997.0,CD,81.1,
1998.0,CD,87.9,
1999.0,CD,87.9,
2000.0,CD,92.3,
2001.0,CD,94.0,
2002.0,CD,95.3,
2003.0,CD,94.7,
2004.0,CD,92.7,
2005.0,CD,85.6,
2006.0,CD,79.7,
2007.0,CD,70.0,
2008.0,CD,62.4,
2009.0,CD,55.6,
2010.0,CD,49.1,
1980.0,CD single,0.0,
1981.0,CD single,0.0,
1982.0,CD single,0.0,
1983.0,CD single,0.0,
1984.0,CD single,0.0,
1985.0,CD single,0.0,
1986.0,CD single,0.0,
1987.0,CD single,0.0,
1988.0,CD single,0.2,
1989.0,CD single,0.0,
1990.0,CD single,0.1,
1991.0,CD single,0.4,
1992.0,CD single,0.5,
1993.0,CD single,0.5,
1994.0,CD single,0.5,
1995.0,CD single,0.9,
1996.0,CD single,1.5,
1997.0,CD single,2.2,
1998.0,CD single,1.5,
1999.0,CD single,1.5,
2000.0,CD single,1.0,
2001.0,CD single,0.6,
2002.0,CD single,0.2,
2003.0,CD single,0.3,
2004.0,CD single,0.1,
2005.0,CD single,0.1,
2006.0,CD single,0.1,
2007.0,CD single,0.1,
2008.0,CD single,0.0,
2009.0,CD single,0.0,
2010.0,CD single,0.0,
1980.0,Download Album,0.0,
1981.0,Download Album,0.0,
1982.0,Download Album,0.0,
1983.0,Download Album,0.0,
1984.0,Download Album,0.0,
1985.0,Download Album,0.0,
1986.0,Download Album,0.0,
1987.0,Download Album,0.0,
1988.0,Download Album,0.0,
1989.0,Download Album,0.0,
1990.0,Download Album,0.0,
1991.0,Download Album,0.0,
1992.0,Download Album,0.0,
1993.0,Download Album,0.0,
1994.0,Download Album,0.0,
1995.0,Download Album,0.0,
1996.0,Download Album,0.0,
1997.0,Download Album,0.0,
1998.0,Download Album,0.0,
1999.0,Download Album,0.0,
2000.0,Download Album,0.0,
2001.0,Download Album,0.0,
2002.0,Download Album,0.0,
2003.0,Download Album,0.0,
2004.0,Download Album,0.4,
2005.0,Download Album,1.2,
2006.0,Download Album,2.5,
2007.0,Download Album,4.9,
2008.0,Download Album,7.9,
2009.0,Download Album,11.0,
2010.0,Download Album,14.8,
1980.0,Download Music Video,0.0,
1981.0,Download Music Video,0.0,
1982.0,Download Music Video,0.0,
1983.0,Download Music Video,0.0,
1984.0,Download Music Video,0.0,
1985.0,Download Music Video,0.0,
1986.0,Download Music Video,0.0,
1987.0,Download Music Video,0.0,
1988.0,Download Music Video,0.0,
1989.0,Download Music Video,0.0,
1990.0,Download Music Video,0.0,
1991.0,Download Music Video,0.0,
1992.0,Download Music Video,0.0,
1993.0,Download Music Video,0.0,
1994.0,Download Music Video,0.0,
1995.0,Download Music Video,0.0,
1996.0,Download Music Video,0.0,
1997.0,Download Music Video,0.0,
1998.0,Download Music Video,0.0,
1999.0,Download Music Video,0.0,
2000.0,Download Music Video,0.0,
2001.0,Download Music Video,0.0,
2002.0,Download Music Video,0.0,
2003.0,Download Music Video,0.0,
2004.0,Download Music Video,0.0,
2005.0,Download Music Video,0.0,
2006.0,Download Music Video,0.2,
2007.0,Download Music Video,0.3,
2008.0,Download Music Video,0.5,
2009.0,Download Music Video,0.5,
2010.0,Download Music Video,0.5,
1980.0,Download Single,0.0,
1981.0,Download Single,0.0,
1982.0,Download Single,0.0,
1983.0,Download Single,0.0,
1984.0,Download Single,0.0,
1985.0,Download Single,0.0,
1986.0,Download Single,0.0,
1987.0,Download Single,0.0,
1988.0,Download Single,0.0,
1989.0,Download Single,0.0,
1990.0,Download Single,0.0,
1991.0,Download Single,0.0,
1992.0,Download Single,0.0,
1993.0,Download Single,0.0,
1994.0,Download Single,0.0,
1995.0,Download Single,0.0,
